Issue Type,Summary,Description,Priority,Labels,Epic Name,Epic Link
Epic,OFR-EPIC-1 Foundations and Structure,"Drupal theme and data foundations for Offer Detail page, including template architecture, data contract, and baseline visual setup.",High,"offer,drupal,theme",OFR Foundations,
Story,OFR-01 Cadrage technique et baseline visuelle,"Activer et verifier la variante Property Search pour les ecrans offre. Capturer baseline desktop/mobile et produire checklist de fidelite maquette.",High,"offer,drupal,theme,baseline",,OFR Foundations
Story,OFR-02 Modele de donnees Offre,"Definir le contrat de donnees de la fiche offre (champs requis, fallback, mapping sections maquette -> champs Drupal).",High,"offer,drupal,data-model",,OFR Foundations
Story,OFR-03 View mode et suggestion de template Offre,"Ajouter la logique theme suggestion node pour detecter les contenus type offre en full view mode et router vers un template dedie.",High,"offer,drupal,twig",,OFR Foundations
Story,OFR-04 Template node detail offre,"Creer le template Twig de detail offre avec sections hero, summary, contenu detaille, surface table, location, map.",High,"offer,drupal,twig,scss",,OFR Foundations
Epic,OFR-EPIC-2 UI Components and Interactions,"Build Offer Detail UI components, modal interactions, map section, and accessibility compliance.",Medium,"offer,drupal,ui",OFR UI,
Story,OFR-05 Preprocess Offre,"Preparer les variables de rendu Offre (format prix, metriques, sections, fallback) sans logique metier lourde dans Twig.",High,"offer,drupal,php",,OFR UI
Story,OFR-06 SCSS structure page Offre,"Implementer grille, spacing, separateurs, alignements responsive de la page offre en variante Property Search.",High,"offer,drupal,scss",,OFR UI
Story,OFR-07 Consultant card,"Implementer card consultant avec avatar, nom, telephone, CTA contact et CTA visite.",Medium,"offer,drupal,component",,OFR UI
Story,OFR-08 Galerie hero,"Implementer galerie hero avec navigation et indicateurs photos/visit/plan.",Medium,"offer,drupal,gallery",,OFR UI
Story,OFR-09 Modale galerie,"Implementer modale galerie avec image principale, miniatures et navigation clavier.",Medium,"offer,drupal,modal",,OFR UI
Story,OFR-10 Modale contact,"Implementer modale formulaire contact avec pre-remplissage de contexte offre.",Medium,"offer,drupal,form",,OFR UI
Story,OFR-11 Surface table et sections,"Finaliser sections Equipments/Services/Building condition/More information et table surfaces responsive.",Medium,"offer,drupal,table",,OFR UI
Story,OFR-12 Location et map panel,"Implementer bloc location/transports et panneau map avec filtres points of interest.",Medium,"offer,drupal,map",,OFR UI
Story,OFR-13 Accessibilite et QA,"Valider focus, clavier, landmarks, hierarchie titres, responsive desktop/tablet/mobile.",High,"offer,drupal,a11y,qa",,OFR UI
Story,OFR-14 Stabilisation et recette finale,"Build final, drush cr, corrections de regressions et note de livraison.",High,"offer,drupal,release",,OFR UI
